date,BDSpread_long,BDSpread_short,mktrf,smb,hml,rf,umd,TDRETADJ1,TDRETADJ2,TDRETADJ5,TDRETADJ7,TDRETADJ10,TDRETADJ20,TDRETADJ30
2008-06-10,0.00034852323431331354,0.0003045689893692007,-0.0031,0.0001,-0.0021,8e-05,-0.0049,-0.147062315,-0.37244252899999997,-0.729687463,-0.8814758559999999,-0.758739244,-0.892170883,-1.064040139
2008-06-11,0.00034779490505738983,0.0003042117678523422,-0.0166,-0.0014,-0.0015,8e-05,0.0197,0.058811458,0.200891022,0.36668218399999997,0.285602452,0.27476799,0.168237553,0.077444821
2008-06-12,0.00035132636165315263,0.00030520685787187773,0.0031,0.0,-0.0006,8e-05,-0.0067,-0.18533479100000003,-0.441008545,-0.964275751,-0.9780735559999999,-0.974195096,-1.010968741,-0.961070408
2008-06-13,0.0003523042097580938,0.00030510248149281347,0.0155,0.0026,-0.0035,8e-05,-0.0031,0.028315409,0.064928216,-0.11504785199999999,-0.219459402,-0.252244758,-0.269852127,-0.42974706700000004
2008-06-16,0.00035278730125043727,0.0003052306115675531,0.0015,0.0088,-0.0019,8e-05,-0.0015,-0.006763713,-0.002305597,-0.12673237699999998,-0.013055923,-0.126809239,-0.11513808,-0.09366140099999999
2008-06-17,0.0003511737572927594,0.00030475574409317345,-0.0055,0.0015,-0.0025,8e-05,0.0165,0.089437371,0.24670456699999999,0.510634534,0.6425022429999999,0.5375974379999999,0.369586026,0.391466288
2008-06-18,0.00034895916920712436,0.0003045241254430747,-0.0096,0.002,0.0026,8e-05,0.0124,0.074089092,0.10251321699999999,0.383484121,0.48537068200000005,0.456065525,0.765278693,0.931312545
2008-06-19,0.00035103725407376854,0.0003049236504522736,0.0034,0.0049,-0.0058,8e-05,-0.0051,-0.082350587,-0.154268815,-0.42450317299999996,-0.567779271,-0.507978348,-0.577448279,-0.7514284640000001
2008-06-20,0.000349658935103636,0.00030476687435551967,-0.0179,0.0034,0.0007,8e-05,0.0148,0.062643036,0.064761517,0.305766906,0.363256187,0.276427414,0.438323607,0.553036029
2008-06-23,0.00034909380573146736,0.0003049754597761993,-0.0016,-0.0061,-0.0031,8e-05,0.0317,-0.0067544580000000005,-0.055192352,-0.094860006,0.032843446,0.098225602,0.350925011,0.42846941200000005
2008-06-24,0.00034660006548448906,0.00030454731138830496,-0.0054,-0.0117,0.0028,8e-05,-0.0127,0.096945528,0.208400444,0.46055855,0.666934192,0.589018781,0.771927875,1.034168735
2008-06-25,0.00034694437115677883,0.0003042591308389072,0.0064,0.0035,-0.0044,8e-05,-0.0084,0.05873583,0.155155221,0.025226365,-0.125518877,-0.082546199,-0.125882479,-0.083960983
2008-06-26,0.00034479844169797307,0.0003037420912629722,-0.0283,0.0056,0.0013,8e-05,0.0191,0.096794781,0.267907732,0.566609389,0.617827609,0.463464329,0.697212988,0.687081387
2008-06-27,0.00034227142805916104,0.00030368566311327695,-0.0037,0.0023,-0.0042,8e-05,0.0094,-0.0022459629999999997,0.064348173,0.27117578600000003,0.402908547,0.472419298,0.9556657,1.32060188
2008-06-30,0.0003610576178287734,0.00030488972163518447,-0.0007,-0.0121,0.0032,8e-05,0.0191,0.008512993,0.038118917999999995,0.090316399,-0.011220935,0.00034068699999999995,-0.056260190999999994,-0.026649224
2008-07-01,0.0003620418121191289,0.00030508737561889504,0.0029,-0.0044,0.0027,7e-05,0.005,-0.048073415999999994,-0.057197739000000004,-0.12969155,-0.15174358699999999,-0.255854677,-0.302587615,-0.39742160600000004
2008-07-02,0.00036026690962772626,0.00030476208167594767,-0.02,-0.0086,0.0012,7e-05,0.0006,0.081598265,0.152587147,0.257181954,0.307531926,0.38766971200000006,0.619424686,0.802880638
2008-07-03,0.00036113273020915476,0.0003045940372171144,-0.0015,-0.0068,-0.0017,7e-05,0.0023,0.031982977999999995,0.099980185,0.125265541,0.08492906900000001,-0.1616141,-0.41115983799999994,-0.584089593
2008-07-04,,,,,,,,,,,,,,
2008-07-07,0.0003587637248122901,0.0003042643059653995,-0.0081,0.0012,-0.011,7e-05,0.0103,0.108839886,0.197707188,0.40789942799999995,0.634723874,0.653637092,0.78175512,0.9322651129999999
2008-07-08,0.0003577445003855441,0.0003044493610931397,0.0184,0.0101,0.0236,7e-05,-0.0299,-0.025153236000000002,-0.07189326,0.00940065,0.128336797,0.166241751,0.463316181,0.543608986
2008-07-09,0.000356070580600846,0.0003041259257298938,-0.0206,-0.0008,-0.0132,7e-05,0.0242,0.058595302,0.17440711,0.47015616200000004,0.40657672100000003,0.570232961,0.434024929,0.525119617
2008-07-10,0.000355844273838656,0.0003041260206662331,0.0065,-0.0002,-0.0123,7e-05,0.0318,0.005293649,0.017606888,0.024642455,0.069279176,0.165024821,0.053628702,0.07377527099999999
2008-07-11,0.00036099445699300914,0.00030497120503084367,-0.0088,0.0148,-0.0111,7e-05,0.0168,-0.131672539,-0.392196036,-0.907621077,-1.126609786,-1.28614666,-1.540738937,-1.966682917
2008-07-14,0.00035748848923706817,0.0003044261904574072,-0.0093,-0.0013,-0.0243,7e-05,0.0263,0.153047534,0.269946356,0.5449842739999999,0.652548115,0.860331284,1.2062473329999999,1.5500867219999999
2008-07-15,0.0003571103976642553,0.000304056571833628,-0.0096,0.0115,-0.0115,7e-05,0.0016,0.07376070400000001,0.189207934,0.39287033,0.39195352,0.289498517,-0.095361554,-0.20543445800000001
2008-07-16,0.0003614056433430346,0.0003042641616058482,0.0252,0.0003,0.0475,7e-05,-0.0583,-0.0023136520000000002,-0.11115289,-0.41846820799999995,-0.6605435129999999,-0.917067401,-1.506957598,-1.9484638490000001
2008-07-17,0.00036287750334375643,0.00030454195534669956,0.0113,-0.0008,0.0411,7e-05,-0.0573,-0.05552893,-0.103682033,-0.351181091,-0.42983459,-0.44191962,-0.358729591,-0.384498016
2008-07-18,0.00036518007066356365,0.00030519210202937673,-0.0008,-0.0078,0.0109,7e-05,-0.0058,-0.101198173,-0.301452724,-0.591080697,-0.62353441,-0.725948485,-0.5398036829999999,-0.624923416
2008-07-21,0.00036399198009959695,0.0003050176520185858,0.0016,0.003,-0.0057,7e-05,0.0076,0.061574928,0.12233815099999999,0.22979730399999998,0.35998635799999995,0.379183024,0.346237003,0.469790382
2008-07-22,0.00036588096001228924,0.00030551842702568983,0.0137,0.0095,0.0316,7e-05,-0.0435,-0.093628932,-0.210601605,-0.438696123,-0.447637181,-0.445438105,-0.5270042070000001,-0.59400351
2008-07-23,0.0003665438441708332,0.0003055767922153273,0.0032,0.0005,0.016,7e-05,-0.0383,0.020531569,-0.035506179,-0.106913001,-0.16725084699999998,-0.13151659599999999,-0.18154821100000001,-0.22840352100000003
2008-07-24,0.00036300485387469745,0.00030486666460486755,-0.0231,0.0051,-0.0287,7e-05,0.0383,0.13475214900000002,0.353860096,0.770886163,0.859741832,0.959650661,1.032228977,1.170618225
2008-07-25,0.0003664588481957117,0.00030537851449468506,0.0047,0.009,-0.0099,7e-05,0.0131,-0.101176089,-0.21037659399999997,-0.437726368,-0.682741673,-0.788417919,-1.133095027,-1.323417892
2008-07-28,0.0003629837854126345,0.00030485526621005176,-0.0176,0.0002,-0.0138,7e-05,0.0251,0.12246100300000001,0.29004339100000004,0.585975435,0.8210349579999999,0.821458853,1.130267905,1.37463434
2008-07-29,0.00036403838171050697,0.00030511678141118264,0.0227,-0.0029,0.0317,7e-05,-0.0394,-0.05933747,-0.08857922900000001,-0.260024139,-0.22484906100000002,-0.302685697,-0.262937369,-0.321574861
2008-07-30,0.0003645816516430155,0.0003050993396747825,0.0158,-0.0135,-0.0015,7e-05,0.013,0.01670374,0.017863877,0.040322139,-0.04805858,-0.052251422,-0.222076776,-0.306665685
2008-07-31,0.00035929151229618824,0.00029943110498675964,-0.0116,0.0061,0.0038,7e-05,-0.0093,0.094364881,0.236960471,0.600014564,0.809266771,0.8121997390000001,0.999052662,1.132001181
2008-08-01,0.0003586864389547741,0.0002994338070581997,-0.0047,0.0066,0.0085,5.9999999999999995e-05,-0.0103,-0.010623077,0.035951726,0.11340002199999999,0.128262765,0.135236359,0.219463199,0.249416002
2008-08-04,0.0003597704797098355,0.0002995980352837951,-0.0109,-0.0022,0.005,5.9999999999999995e-05,-0.0139,0.013944268999999999,-0.042465984000000005,-0.098811372,-0.201481501,-0.202072855,-0.316793841,-0.421131837
2008-08-05,0.0003616270335114899,0.000299709428998036,0.0265,-0.0057,0.0166,5.9999999999999995e-05,-0.0328,-0.018257807,-0.028480032000000002,-0.22322900399999998,-0.282514573,-0.44193311,-0.578300356,-0.82754418
2008-08-06,0.00036319242930888865,0.00029977330549088306,0.005,0.0053,-0.0114,5.9999999999999995e-05,0.0083,0.019921245,-0.03564953,-0.12105191,-0.106728246,-0.255844218,-0.5816641220000001,-0.802497204
2008-08-07,0.00035791062233749124,0.00029919098366552004,-0.0173,0.0062,-0.0173,5.9999999999999995e-05,0.0205,0.11153675099999999,0.301042865,0.774638341,1.012735276,1.2046299870000001,1.75336624,2.234941401
2008-08-08,0.00042195111035817155,0.00029953159778095724,0.0228,0.0059,0.0137,5.9999999999999995e-05,-0.0293,-0.048742962,-0.149834193,-0.20770477399999998,-0.178689047,-0.067158487,0.218419383,0.311432103
2008-08-11,0.00042516568927263325,0.00029974091607649515,0.0083,0.0138,0.012,5.9999999999999995e-05,-0.0187,-0.001326986,-0.056753599999999994,-0.273932154,-0.449368572,-0.496766459,-0.793025813,-1.047367086
2008-08-12,0.00042145941463494937,0.00029926617177354544,-0.0105,0.0098,-0.0193,5.9999999999999995e-05,0.0207,0.111468296,0.22918823,0.552748455,0.7447486190000001,0.759900083,0.9076201999999999,1.107285868
2008-08-13,0.0004230026970811026,0.00029951005709734813,-0.0015,0.0075,-0.0203,5.9999999999999995e-05,0.0303,-0.04871308,-0.085533265,-0.236687337,-0.265890605,-0.29944456199999997,-0.39586277,-0.411741267
2008-08-14,0.0004209294990142392,0.00029933338454143075,0.0063,0.001,0.013,5.9999999999999995e-05,-0.0198,0.050394536,0.093067602,0.20067501199999999,0.288428203,0.38345371899999997,0.6155595770000001,0.6741191590000001
2008-08-15,0.0004185153841617651,0.0002992600051132909,0.0038,-0.0036,0.0107,5.9999999999999995e-05,-0.0183,-0.0029823840000000003,0.078700431,0.185704886,0.30216267199999997,0.397470459,0.69342591,0.8731363059999999
2008-08-18,0.00041716946222023036,0.00029914105093690633,-0.0145,0.0028,-0.0089,5.9999999999999995e-05,0.0174,0.044405709,0.117233294,0.166405449,0.180971579,0.23163822899999997,0.41341958799999995,0.543909388
2008-08-19,0.0004181343216086493,0.00029907675015051626,-0.01,-0.0056,-0.0124,5.9999999999999995e-05,0.028,0.012255836,0.058548009000000005,0.055376334000000006,-0.033428906,-0.097324089,-0.345195431,-0.382484606
2008-08-20,0.0004170047001066263,0.000298923083121818,0.0054,-0.0065,-0.0007,5.9999999999999995e-05,0.0079,0.042724569000000004,0.08777062599999999,0.218164969,0.232794434,0.272170332,0.33135681899999997,0.29717630899999997
2008-08-21,0.0004180236980749912,0.00029915365312214786,0.0012,-0.009,-0.0046,5.9999999999999995e-05,0.0068,-0.033436732999999996,-0.095001462,-0.195856825,-0.254709234,-0.235374245,-0.207388049,-0.25646923899999996
2008-08-22,0.0004187359838404815,0.0002995720680959291,0.0114,0.0043,0.0103,5.9999999999999995e-05,-0.0186,-0.07153218,-0.182868846,-0.314629297,-0.32933034,-0.282111519,-0.06967343599999999,-0.019620262
2008-08-25,0.0004151553032964887,0.0002993290726574753,-0.0192,-0.0012,-0.0052,5.9999999999999995e-05,0.0098,0.09014204,0.15389125,0.43373867200000005,0.74537769,0.710462287,0.993538693,1.1922508859999998
2008-08-26,0.0004149256206440827,0.00029938464042228186,0.0033,-0.002,0.0014,5.9999999999999995e-05,0.0023,-0.002979955,-0.007316895,0.010925168999999998,-0.033309846000000004,0.086973328,0.095222225,0.105810385
2008-08-27,0.0004144922789865807,0.00029928990833589045,0.0088,0.0027,0.0029,5.9999999999999995e-05,-0.0043,-0.0029800440000000003,0.095126592,0.11438045,0.20248881800000001,0.102213063,0.054106119,0.136966282
2008-08-28,0.0004143897383358618,0.0002994313504142177,0.0151,0.0015,0.018,5.9999999999999995e-05,-0.0203,-0.002980132,-0.065794283,-0.151477224,-0.106795247,-0.11208674199999999,0.149751306,0.16800391
2008-08-29,0.0004427544015021486,0.0003002214416056853,-0.0125,0.0024,0.0063,5.9999999999999995e-05,-0.0048,-0.027170177,-0.043891734,-0.107352005,-0.298322098,-0.306728325,-0.751197109,-0.829801004
2008-09-01,,,,,,,,,,,,,,
2008-09-02,0.0004391316728887712,0.00029983628732052587,-0.0044,0.0031,0.0203,7e-05,-0.0231,0.11003990599999999,0.24882904,0.517387835,0.752531446,0.673679457,0.9601530509999999,1.1637203520000001
2008-09-03,0.0004375294584301052,0.000299849121807688,-0.0023,0.0054,0.0166,7e-05,-0.0165,-0.004492161,0.021901007000000004,0.187580026,0.18672767699999998,0.253275762,0.462483197,0.571113993
2008-09-04,0.00043467789920162946,0.0002995730635381911,-0.029,0.002,-0.0047,7e-05,0.0127,0.072216854,0.13867600900000002,0.42238311,0.464358867,0.552815818,0.70438309,0.9231678529999999
2008-09-05,0.0004374682292783108,0.00030016976882149353,0.0042,-0.0083,0.0158,7e-05,-0.0086,-0.119469911,-0.255102041,-0.6185015970000001,-0.68825347,-0.5910329870000001,-0.5660035,-0.66183517
